<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ToseAtlasMofid.ETF,20171023,12617.00,12617.00,12617.00,12617.00,12617000,1000,2,D,12526.00,12617.00
ToseAtlasMofid.ETF,20171022,12526.00,12526.00,12526.00,12526.00,216687274,17299,9,D,12377.00,12526.00
ToseAtlasMofid.ETF,20171021,12375.00,12400.00,12375.00,12377.00,269820000,21800,4,D,12369.00,12375.00
ToseAtlasMofid.ETF,20171018,12375.00,12375.00,12200.00,12369.00,127812600,10333,2,D,12383.00,12200.00
ToseAtlasMofid.ETF,20171017,12383.00,12383.00,12383.00,12383.00,23527700,1900,1,D,12293.00,12383.00
ToseAtlasMofid.ETF,20171016,12293.00,12293.00,12293.00,12293.00,258153,21,2,D,12233.00,12293.00
ToseAtlasMofid.ETF,20171014,12233.00,12233.00,12233.00,12233.00,34521526,2822,1,D,12320.00,12233.00
ToseAtlasMofid.ETF,20171007,12320.00,12320.00,12320.00,12320.00,1133440,92,1,D,12395.00,12320.00
ToseAtlasMofid.ETF,20171004,12389.00,12400.00,12389.00,12395.00,13907300,1122,2,D,12401.00,12400.00
ToseAtlasMofid.ETF,20170926,12401.00,12401.00,12401.00,12401.00,14918403,1203,1,D,12408.00,12401.00
ToseAtlasMofid.ETF,20170925,12408.00,12408.00,12408.00,12408.00,10770144,868,1,D,12433.00,12408.00
ToseAtlasMofid.ETF,20170924,12403.00,12480.00,12403.00,12433.00,10791445,868,2,D,12340.00,12480.00
ToseAtlasMofid.ETF,20170923,12340.00,12340.00,12340.00,12340.00,44991640,3646,2,D,12299.00,12340.00
ToseAtlasMofid.ETF,20170920,12299.00,12299.00,12299.00,12299.00,27143893,2207,4,D,12270.00,12299.00
ToseAtlasMofid.ETF,20170919,12270.00,12270.00,12270.00,12270.00,14110500,1150,2,D,12250.00,12270.00
ToseAtlasMofid.ETF,20170918,12250.00,12250.00,12250.00,12250.00,551250,45,1,D,12116.00,12250.00
ToseAtlasMofid.ETF,20170917,12116.00,12116.00,12116.00,12116.00,20960680,1730,4,D,12163.00,12116.00
ToseAtlasMofid.ETF,20170913,12163.00,12163.00,12163.00,12163.00,36489000,3000,6,D,12134.00,12163.00
ToseAtlasMofid.ETF,20170912,12159.00,12280.00,12073.00,12134.00,37639182,3102,7,D,12073.00,12073.00
ToseAtlasMofid.ETF,20170911,12073.00,12073.00,12073.00,12073.00,42255500,3500,4,D,12131.00,12073.00
ToseAtlasMofid.ETF,20170910,12131.00,12131.00,12131.00,12131.00,27901300,2300,2,D,12096.00,12131.00
ToseAtlasMofid.ETF,20170906,12096.00,12096.00,12096.00,12096.00,22377600,1850,2,D,11994.00,12096.00
ToseAtlasMofid.ETF,20170905,11932.00,12000.00,11932.00,11994.00,109482832,9128,14,D,11899.00,12000.00
ToseAtlasMofid.ETF,20170904,11929.00,11930.00,11865.00,11899.00,459569496,38624,8,D,11894.00,11865.00
ToseAtlasMofid.ETF,20170903,11900.00,11900.00,11876.00,11894.00,178408000,15000,3,D,11856.00,11890.00
ToseAtlasMofid.ETF,20170902,11883.00,11883.00,11823.00,11856.00,213414000,18000,2,D,11891.00,11823.00
ToseAtlasMofid.ETF,20170830,11891.00,11891.00,11891.00,11891.00,1189100,100,1,D,11880.00,11891.00
ToseAtlasMofid.ETF,20170829,11880.00,11880.00,11880.00,11880.00,1782000,150,1,D,11860.00,11880.00
ToseAtlasMofid.ETF,20170827,11860.00,11860.00,11860.00,11860.00,36766000,3100,2,D,11887.00,11860.00
ToseAtlasMofid.ETF,20170826,11887.00,11887.00,11887.00,11887.00,24320802,2046,1,D,11768.00,11887.00
ToseAtlasMofid.ETF,20170821,11768.00,11768.00,11768.00,11768.00,55027168,4676,1,D,11733.00,11768.00
ToseAtlasMofid.ETF,20170819,11741.00,11741.00,11707.00,11733.00,980554920,83573,4,D,11741.00,11707.00
ToseAtlasMofid.ETF,20170816,11741.00,11741.00,11741.00,11741.00,199597,17,1,D,11734.00,11741.00
